source_seqid	gff_seqid	canonical_seqid	assembly_unit_id	haplotype	length_bp	annotation_feature_rows	gene_rows	annotation_status	sequence_class
Lco1464_v1.0_h2tg000065l	Lco1464_v1.0_h2tg000065l	Lco1464_v1.0_h2tg000065l	leea_coccinea_lco1464_h2	h2	59167	12	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000066l		Lco1464_v1.0_h2tg000066l	leea_coccinea_lco1464_h2	h2	41014	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000067l		Lco1464_v1.0_h2tg000067l	leea_coccinea_lco1464_h2	h2	46578	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000068l	Lco1464_v1.0_h2tg000068l	Lco1464_v1.0_h2tg000068l	leea_coccinea_lco1464_h2	h2	37983	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000069l	Lco1464_v1.0_h2tg000069l	Lco1464_v1.0_h2tg000069l	leea_coccinea_lco1464_h2	h2	30871	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000070l		Lco1464_v1.0_h2tg000070l	leea_coccinea_lco1464_h2	h2	31245	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000071l	Lco1464_v1.0_h2tg000071l	Lco1464_v1.0_h2tg000071l	leea_coccinea_lco1464_h2	h2	29471	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000072l	Lco1464_v1.0_h2tg000072l	Lco1464_v1.0_h2tg000072l	leea_coccinea_lco1464_h2	h2	33470	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000073l		Lco1464_v1.0_h2tg000073l	leea_coccinea_lco1464_h2	h2	32435	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000074l		Lco1464_v1.0_h2tg000074l	leea_coccinea_lco1464_h2	h2	40621	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000075l	Lco1464_v1.0_h2tg000075l	Lco1464_v1.0_h2tg000075l	leea_coccinea_lco1464_h2	h2	31542	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000076l		Lco1464_v1.0_h2tg000076l	leea_coccinea_lco1464_h2	h2	36457	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000077l		Lco1464_v1.0_h2tg000077l	leea_coccinea_lco1464_h2	h2	36124	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
